transaction_id,account_id,customer_id,transaction_type,amount,currency,transaction_status,payment_channel,merchant_country,transaction_date
T0036,A015,C015,WITHDRAWAL,430.03,EUR,SUCCESSFUL,CARD,NL,2026-03-15
T0037,A036,C017,TRANSFER,-50.0,EUR,SUCCESSFUL,WEB,ES,2026-03-01
T0038,A030,C026,PAYMENT,3989.5,EUR,SUCCESSFUL,ATM,DE,2026-03-16
T0039,A017,C027,TRANSFER,4047.05,EUR,failed,BANK_TRANSFER,FR,2026-03-21
T0040,A030,C026,DEPOSIT,2472.27,EUR,SUCCESSFUL,MOBILE_APP,DE,2026-03-20
T0041,A013,C020,WITHDRAWAL,391.97,EUR,SUCCESSFUL,MOBILE_APP,IT,2026-03-19
T0042,A009,C004,WITHDRAWAL,67.28,EUR,SUCCESSFUL,CARD,GB,2026-03-07
T0043,A032,C006,DEPOSIT,1457.83,EUR,SUCCESSFUL,WEB,NL,2026-03-04
T0044,A036,C017,DEPOSIT,1000.25,EUR,PENDING,CARD,ES,2026-03-15
T0045,A005,,DEPOSIT,4100.39,EUR,PENDING,MOBILE_APP,NL,2026-03-07
T0046,A014,C020,WITHDRAWAL,377.69,EUR,SUCCESSFUL,MOBILE_APP,FR,2026-03-20
T0047,A033,C029,WITHDRAWAL,1401.44,EUR,SUCCESSFUL,BANK_TRANSFER,NL,2026-03-16
T0048,A026,C003,DEPOSIT,129.05,EUR,SUCCESSFUL,WEB,NL,2026-03-10
T0049,A010,C007,PAYMENT,2083.83,EUR,SUCCESSFUL,MOBILE_APP,DE,2026-03-11
T0050,A022,C026,TRANSFER,4196.36,EUR,SUCCESSFUL,CARD,GB,2026-03-10
T0051,A017,C027,PAYMENT,1864.25,EUR,SUCCESSFUL,mobile_app,NL,2026-03-09
T0052,A004,C006,WITHDRAWAL,1406.79,EUR,successful,BANK_TRANSFER,FR,2026-03-09
T0053,A028,C016,WITHDRAWAL,2557.26,EUR,SUCCESSFUL,WEB,DE,2026-03-21
T0054,A026,C003,TRANSFER,4567.55,EUR,FAILED,CARD,DE,2026-03-14
T0055,A029,C004,WITHDRAWAL,3076.5,EUR,SUCCESSFUL,WEB,DE,2026-03-18
T0056,A009,C004,WITHDRAWAL,857.96,EUR,SUCCESSFUL,MOBILE_APP,ES,2026-03-21
T0057,A017,C027,DEPOSIT,2034.02,EUR,SUCCESSFUL,ATM,GB,2026-03-13
T0058,A008,C026,TRANSFER,840.83,EUR,SUCCESSFUL,ATM,NL,2026-03-18
T0059,A015,C015,DEPOSIT,2267.67,EUR,SUCCESSFUL,WEB,FR,2026-03-18
T0060,A013,C020,PAYMENT,1224.21,EUR,SUCCESSFUL,MOBILE_APP,FR,2026-03-12
T0061,A017,C027,PAYMENT,4047.75,EUR,SUCCESSFUL,WEB,NL,2026-03-14
T0062,A034,C016,PAYMENT,1053.97,EUR,SUCCESSFUL,WEB,ES,2026-03-19
T0063,A024,C001,TRANSFER,633.74,EUR,SUCCESSFUL,CARD,ES,2026-03-08
T0064,A025,C020,WITHDRAWAL,2001.79,EUR,SUCCESSFUL,CARD,FR,2026-03-02
T0065,A028,C016,DEPOSIT,3549.01,EUR,failed,ATM,NL,2026-03-01
T0066,A005,C016,DEPOSIT,1960.65,EUR,FAILED,WEB,FR,2026-03-04
T0067,A015,C015,PAYMENT,776.12,EUR,SUCCESSFUL,WEB,DE,2026-03-18
T0068,A003,C014,PAYMENT,11.82,EUR,SUCCESSFUL,mobile_app,FR,2026-03-21
T0069,A017,C027,PAYMENT,2643.62,EUR,SUCCESSFUL,CARD,DE,2026-03-10
T0070,A034,C016,WITHDRAWAL,4717.98,EUR,SUCCESSFUL,BANK_TRANSFER,IT,2026-03-01
T0071,A001,C003,WITHDRAWAL,2689.69,EUR,PENDING,MOBILE_APP,GB,2026-03-08
T0072,A031,C013,PAYMENT,2633.76,EUR,SUCCESSFUL,WEB,GB,2026-03-21
T0073,A020,C023,DEPOSIT,281.27,EUR,SUCCESSFUL,CARD,ES,2026-03-08
T0074,A028,C016,PAYMENT,-50.0,EUR,SUCCESSFUL,MOBILE_APP,GB,2026-03-14
T0075,A024,C001,WITHDRAWAL,3414.42,EUR,SUCCESSFUL,ATM,DE,2026-03-07
T0076,A032,C006,TRANSFER,4849.44,EUR,SUCCESSFUL,BANK_TRANSFER,NL,2026-03-08
T0077,A017,C027,DEPOSIT,3803.55,EUR,SUCCESSFUL,ATM,FR,2026-03-08
T0078,A032,C006,TRANSFER,2088.06,EUR,successful,WEB,DE,2026-03-07
T0079,A002,C029,PAYMENT,4870.73,EUR,SUCCESSFUL,CARD,FR,2026-03-13
T0080,A029,C004,PAYMENT,4491.35,EUR,FAILED,CARD,FR,2026-03-11
T0081,A013,C020,DEPOSIT,931.63,EUR,FAILED,CARD,ES,2026-03-13
T0082,A024,C001,PAYMENT,4924.99,EUR,SUCCESSFUL,CARD,DE,2026-03-09
T0083,A006,C005,PAYMENT,1760.58,EUR,PENDING,ATM,FR,2026-03-13
T0084,A023,C007,DEPOSIT,3844.82,EUR,SUCCESSFUL,CARD,DE,2026-03-16
T0085,A013,C020,TRANSFER,1866.71,EUR,FAILED,mobile_app,ES,2026-03-16
T0086,A002,C029,DEPOSIT,3160.15,EUR,SUCCESSFUL,CARD,NL,2026-03-02
T0087,A030,C026,WITHDRAWAL,317.59,EUR,FAILED,BANK_TRANSFER,GB,2026-03-03
T0088,A039,C027,PAYMENT,1698.65,EUR,SUCCESSFUL,MOBILE_APP,GB,2026-03-11
T0089,A018,C017,PAYMENT,1490.54,EUR,SUCCESSFUL,CARD,FR,2026-03-04
T0090,A031,C013,DEPOSIT,3579.28,EUR,SUCCESSFUL,MOBILE_APP,NL,2026-03-16
T0091,A009,C004,WITHDRAWAL,4640.86,EUR,successful,BANK_TRANSFER,IT,2026-03-08
T0092,A021,C018,PAYMENT,4306.91,EUR,SUCCESSFUL,ATM,FR,2026-03-13
T0093,A011,C002,PAYMENT,1240.3,EUR,SUCCESSFUL,WEB,IT,2026-03-18
T0094,A021,C018,PAYMENT,807.66,EUR,SUCCESSFUL,CARD,ES,2026-03-20
T0095,A006,C005,DEPOSIT,1045.66,EUR,SUCCESSFUL,BANK_TRANSFER,FR,2026-03-05
T0096,A027,C011,TRANSFER,2307.31,EUR,FAILED,ATM,GB,2026-03-04
T0097,A019,C025,WITHDRAWAL,1472.44,EUR,SUCCESSFUL,MOBILE_APP,GB,2026-03-09
T0098,A013,C020,TRANSFER,2199.79,EUR,SUCCESSFUL,BANK_TRANSFER,ES,2026-03-19
T0099,A013,C020,TRANSFER,1635.06,EUR,SUCCESSFUL,ATM,IT,2026-03-08
T0100,A007,C005,PAYMENT,3268.37,EUR,PENDING,CARD,NL,2026-03-08
T0101,A029,C004,WITHDRAWAL,4572.31,EUR,SUCCESSFUL,BANK_TRANSFER,DE,2026-03-02
T0102,A013,C020,TRANSFER,3004.46,EUR,FAILED,card,ES,2026-03-17
T0103,A012,C004,PAYMENT,2248.32,EUR,SUCCESSFUL,CARD,GB,2026-03-20
T0104,A040,C022,WITHDRAWAL,1751.75,EUR,successful,BANK_TRANSFER,DE,2026-03-07
T0105,A017,C027,TRANSFER,195.99,EUR,SUCCESSFUL,CARD,ES,2026-03-14
T0106,A024,C001,TRANSFER,929.8,EUR,SUCCESSFUL,CARD,NL,2026-03-18
T0107,A031,C013,DEPOSIT,321.04,EUR,SUCCESSFUL,ATM,FR,2026-03-21
T0108,A035,C005,WITHDRAWAL,460.31,EUR,SUCCESSFUL,WEB,ES,2026-03-10
T0109,A027,C011,WITHDRAWAL,4766.18,EUR,SUCCESSFUL,WEB,NL,2026-03-01
T0110,A024,C001,DEPOSIT,3224.17,EUR,SUCCESSFUL,BANK_TRANSFER,DE,2026-03-14
T0111,A011,C002,DEPOSIT,-50.0,EUR,FAILED,ATM,ES,2026-03-15
T0112,A011,C002,TRANSFER,654.23,EUR,SUCCESSFUL,WEB,DE,2026-03-19
T0113,A040,C022,TRANSFER,4636.5,EUR,SUCCESSFUL,BANK_TRANSFER,ES,2026-03-10
T0114,A011,C002,PAYMENT,2608.19,EUR,FAILED,WEB,NL,2026-03-07
T0115,A020,C023,DEPOSIT,637.62,EUR,FAILED,MOBILE_APP,DE,2026-03-20
T0116,A025,C020,TRANSFER,436.04,EUR,SUCCESSFUL,BANK_TRANSFER,IT,2026-03-13
T0117,A040,C022,TRANSFER,4232.53,EUR,failed,ATM,FR,2026-03-02
T0118,A026,C003,WITHDRAWAL,4693.05,EUR,SUCCESSFUL,CARD,FR,2026-03-08
T0119,A013,C020,PAYMENT,210.29,EUR,SUCCESSFUL,mobile_app,DE,2026-03-13
T0120,A039,C027,WITHDRAWAL,2281.39,EUR,FAILED,WEB,ES,2026-03-19
T0121,A016,C004,DEPOSIT,2131.57,EUR,SUCCESSFUL,ATM,NL,2026-03-06
T0122,A002,C029,DEPOSIT,22.52,EUR,PENDING,BANK_TRANSFER,NL,2026-03-20
T0123,A030,C026,DEPOSIT,4183.54,EUR,FAILED,CARD,DE,2026-03-05
T0124,A023,C007,DEPOSIT,2155.84,EUR,SUCCESSFUL,ATM,IT,2026-03-02
T0125,A003,C014,WITHDRAWAL,3184.0,EUR,SUCCESSFUL,ATM,DE,2026-03-02
T0126,A033,C029,TRANSFER,4474.86,EUR,SUCCESSFUL,CARD,DE,2026-03-20
T0127,A008,C026,DEPOSIT,972.57,EUR,PENDING,MOBILE_APP,FR,2026-03-08
T0128,A005,C016,WITHDRAWAL,4166.02,EUR,SUCCESSFUL,BANK_TRANSFER,ES,2026-03-20
T0129,A018,C017,WITHDRAWAL,4525.79,EUR,SUCCESSFUL,ATM,NL,2026-03-07
T0130,A038,C017,WITHDRAWAL,1318.02,EUR,successful,MOBILE_APP,DE,2026-03-07
T0131,A012,C004,WITHDRAWAL,2020.31,EUR,SUCCESSFUL,MOBILE_APP,NL,2026-03-06
T0132,A017,C027,WITHDRAWAL,579.82,EUR,SUCCESSFUL,WEB,IT,2026-03-17
T0133,A038,C017,WITHDRAWAL,3445.2,EUR,FAILED,ATM,GB,2026-03-13
T0134,A024,C001,TRANSFER,1327.45,EUR,PENDING,MOBILE_APP,ES,2026-03-03
T0135,A029,C004,PAYMENT,1154.09,EUR,SUCCESSFUL,MOBILE_APP,IT,2026-03-09
T0136,A020,C023,WITHDRAWAL,3197.99,EUR,PENDING,card,GB,2026-03-02
T0137,A015,C015,DEPOSIT,751.08,EUR,SUCCESSFUL,WEB,IT,2026-03-12
T0138,A004,C006,PAYMENT,664.46,EUR,SUCCESSFUL,CARD,DE,2026-03-01
T0139,A037,C027,WITHDRAWAL,1778.04,EUR,SUCCESSFUL,ATM,FR,2026-03-14
T0140,A038,C017,WITHDRAWAL,1509.27,EUR,SUCCESSFUL,ATM,NL,2026-03-06
T0141,A009,C004,TRANSFER,75.49,EUR,FAILED,WEB,DE,2026-03-03
T0142,A010,C007,DEPOSIT,4357.07,EUR,FAILED,MOBILE_APP,DE,2026-03-02
T0143,A036,C017,DEPOSIT,4463.92,EUR,successful,ATM,IT,2026-03-16
T0144,A016,C004,PAYMENT,829.67,EUR,SUCCESSFUL,ATM,DE,2026-03-13
T0145,A012,C004,PAYMENT,1192.16,EUR,SUCCESSFUL,CARD,IT,2026-03-18
T0146,A013,C020,DEPOSIT,715.62,EUR,SUCCESSFUL,ATM,FR,2026-03-17
T0147,A020,C023,DEPOSIT,323.52,EUR,SUCCESSFUL,ATM,DE,2026-03-13
T0148,A028,C016,DEPOSIT,-50.0,EUR,SUCCESSFUL,BANK_TRANSFER,FR,2026-03-04
T0149,A017,C027,WITHDRAWAL,1165.32,EUR,SUCCESSFUL,MOBILE_APP,GB,2026-03-02
T0150,A018,C017,WITHDRAWAL,3181.15,EUR,SUCCESSFUL,MOBILE_APP,GB,2026-03-07
